run,cycle,label,slice,era,commit,started_at,finished_at,duration_s,overall_pct,simple_pct,medium_pct,complex_pct,event_event_pct,task_task_pct,event_task_pct,et_event_missing,et_task_missing,et_both_present,deep_pct,fast_pct,p50_ms,p95_ms,n_deep,n_fast,ee_date_collapse_pct,precision_pct,recall_pct,f1_pct,fieldq_pct,when_ok_pct,wtd_fieldq_pct,garbage_pct,adj_pct,summary
1,1,baseline,dev-fast-250,0,2588612,2026-09-04T16:14:22,2026-09-04T17:35:44,4882,73.2,89,91,40,52,35,35,20,4,13,76,70,9542,74211,135,115,0,,,,,,,1,74.8,"Cycle-1 baseline (old brain 67.2% on the same slice). Reading actions_json: the event half of event+task compounds is mis-kinded (reminder+clock-time phrasing → create_todo), rarely dropped; smaller piles: vague event halves → unknown, fast-path compound mangle, product-vs-dataset convention clashes (not chased). Hypothesis for cycle 1: enforce the pinned remind+clock-time⇒event rule over the LLM's kind labels in segment; expect e+e 52→~58-60, e+t 35→~40, overall +1-2pt, rest flat."
2,1,cycle1-fix,dev-fast-250,0,e956763,2026-09-04T17:42:54,2026-09-04T18:20:39,2265,76.0,91,92,44,56,35,41,18,4,15,79,71,5702,31317,135,115,0,,,,,,,1,77.2,"Cycle-1 fix verified: predicted e+t ~40 → actual 41 (on the nose); e+e 56 (predicted 58-60, slightly under); overall +2.8 (above +1-2 — novel small simple/medium gains from single timed reminders); task+task flat as predicted; p50 latency 9.5→5.7s. Graduated; dev-full confirm batched with next win."
3,2,cycle2-fix,dev-fast-250,0,8a3e127,2026-09-04T18:38:30,2026-09-04T19:13:17,2087,76.8,92,92,46,59,35,43,17,4,16,81,71,5259,30391,135,115,0,,,,,,,1,78.4,"Cycle-2 verified, partially: direction right everywhere (e+e 56→59, e+t 41→43, overall +1.2) but under the predicted +1.5-2. Novel finding: Friday replays observance-block 'tomorrow' events (Shabbat) — product right, dataset blind; gains understated, cross-weekday runs not comparable. Graduated; dev-full confirm of C1+C2 next."
4,2,devfull-confirm-c1c2,dev-full-600,0,8a3e127,2026-09-04T19:15:45,2026-09-04T20:45:50,5405,76.0,90,89,45,53,47,38,30,13,29,77,75,5522,36046,329,271,2,,,,,,,0,78.0,C1+C2 confirmed off the tuning slice: dev-full 74.2 (pre-loop reference) → 76.0 (+1.8); old brain 71 on the same slice; garbage titles 0%. Caveat: the pre-loop reference ran on a different weekday (Friday/Shabbat replay clash makes cross-day deltas approximate).
5,3,cycle3-fix,dev-fast-250,0,ce0c9b3,2026-09-04T20:49:17,2026-09-04T21:28:42,2365,77.6,90,92,51,63,55,41,16,6,15,77,79,6216,34936,147,103,0,,,,,,,1,78.8,"Cycle-3 gate verified: task+task 35→55 (+20, far above tempered prediction) and e+e 59→63 as the gated compounds went deep; overall +0.8. e+t 43→41 and simple −2 diff as replay nondeterminism, not gate effects — noise floor stated: overall deltas <~1.5pt are not signal on dev-fast. Fast share −12 rows, fast correctness up to 79%. Graduated."
6,4,cycle4-fix,dev-fast-250,0,f1c8d9d,2026-09-04T21:33:10,2026-09-04T22:12:43,2373,77.6,89,91,54,67,50,46,14,6,17,78,78,6415,32733,147,103,0,,,,,,,1,78.8,"Cycle-4 cues verified on their targets: e+t 41→46 (top of band; the calendar-invite row now creates 'Brunch with James and Alice' Tue 11AM), e+e 63→67, complex 51→54. Headline flat — t+t gave back one noise-class row. Festival row residual = generate reads 'notify me about any festival' as a schedule query (standing-alert concept the product lacks); accepted semantic boundary. Graduated."
7,4,devfull-confirm-c3c4,dev-full-600,0,f1c8d9d,2026-09-04T22:13:59,2026-09-04T23:54:48,6049,78.0,91,89,51,56,57,42,25,16,32,,,6078,36931,349,249,0,,,,,,,0,79.7,"C3+C4 confirmed off the tuning slice: dev-full 76.0→78.0 (+2.0; +3.8 total today vs the 74.2 pre-loop reference; old brain 71). t+t generalises +10 (47→57), complex 45→51, garbage 0%. Note: 2 rows took an 'error' parse path — glance tomorrow. Day closed at this milestone."
8,-,rebaseline-alldeep-bug,dev-fast-250,1,702eae6,2026-09-05T20:44:29,2026-09-05T21:58:49,4460,79.2,86,87,64,74,40,70,4,5,26,79,,12661,57795,250,0,0,86.7,79.7,83.1,,,,0,80.4,"NOT the epoch baseline: freezegun metaclass conflict broke the rule parser's lazy first-analyze, so all 250 rows silently took the deep track. Kept as an accidental pure-deep A/B: deep-only scores 79.2 count-correct / F1 83.1 (P 86.7, R 79.7), complex 64, e+t event-missing collapses to 4 — but p50 latency 12.7s. Harness fixed (warm-analyze before freezing); true baseline is the next row. | identity verified 2026-09-06 vs archive (parse_path all-deep); rescore matches logged 79.2"
9,-,epoch-baseline,dev-fast-250,1,f1c8d9d,2026-09-05T22:02:19,2026-09-05T22:55:27,3188,78.4,92,91,52,63,50,46,14,6,17,78,80,7186,47244,147,103,4,85.1,79.3,82.1,84.6,85,84.1,1,79.6,"THE new-epoch anchor (frozen row-ts, observance off, fast path verified alive 103/250). vs old brain 67.2. First full scorecard: F1 82.1 (P 85.1/R 79.3), field quality 84.6 (when-correct 85%, n=70; oddly simple-tier fieldq 75 < complex 86 — read next session). Near-identical to Friday's post-C4 numbers, confirming the epoch shift is mild with the fast path restored (the all-deep row 8 remains the pure-deep A/B)."
10,5,cycle5-fix,dev-fast-250,1,b3c6656,2026-09-06T08:16:10,2026-09-06T09:06:22,3012,79.2,91,92,55,67,55,46,14,6,17,80,79,6721,45099,147,103,0.0,85.6,80.2,82.8,84.0,82.9,83.1,0.8,80.4,"cycle5 event_fallback: +0.8 raw (noise-floor), fallback fired 4x (2 target, 2 loose 'future/following' groundings -> feeds #5 guard); hypothesis evidence partly stale (old-epoch failures already pass new-epoch); verdict inconclusive-keep"
