cycle,date,component,kind,description,commit
1,2026-09-04,segment,bugfix,LLM kind-label overrode the pinned remind+clock-time⇒event rule on the deep path; enforced deterministically over LLM labels,e956763
2,2026-09-04,segment,convention,Dated occasion reminder ⇒ calendar event (Gil ruling); errand form keeps the clock gate,8a3e127
3,2026-09-04,generate,bugfix,Fast path confidently committed single-intent readings of strong-joiner compounds (todo literally titled 'then'); gate refuses and takes deep,ce0c9b3
4,2026-09-04,segment,improvement,"Data-driven cues: notify joins remind-words, festival joins occasions, 'calendar invite' ⇒ event on its own",f1c8d9d
4,2026-09-04,process,improvement,Hypothesis queue (HYPOTHESES.md) ranked best-first; re-ranked every rerun,743a8c0
-,2026-09-04,process,new,loop_log.csv: one plottable row per measurement run,e176323
-,2026-09-05,harness,bugfix,--limit defaulted to 150 and capped AFTER the rank filter: '--max-rank 600' silently ran 150 rows; all ladder commands carry --limit 0,6dc0fef
-,2026-09-05,observance,feature,observance.enabled user flag (config + env override) standing down BOTH gates (engine gate + series skip),9c33548
-,2026-09-05,harness,improvement,Replays frozen at each row's recorded ts (the dataset is a history) with observance off — measurement epoch reset,9c33548
-,2026-09-05,harness,bugfix,freeze_time froze time.time and zeroed the latency metric; tick=True keeps durations real,15d15f0
-,2026-09-05,process,new,DEVQA.md: async questions instead of blocking prompts,9c33548
-,2026-09-05,metrics,new,"Item-level micro P/R/F1: recall=nothing missed, precision=nothing invented (creations on query/remove cost it)",3e00b08
-,2026-09-05,metrics,bugfix,'off the tuning slice' claims re-counted tuned rows (dev-full ⊇ dev-fast); untuned 251-600 sub-slice now quoted separately,3e00b08
-,2026-09-05,metrics,new,"Field-quality metric: when .5 (paramount, objective) · title .3 (similarity) · extras .2 (not-invented); tasks title/qty/tag .5/.3/.2; coverage-honest; difficulty-weighted headline",52af656
-,2026-09-05,metrics,improvement,"Tag component = closed-set classification over the registry's finite classes, referenced to the product's own classifier",405819f
-,2026-09-05,tagging,improvement,resolve_tags heals LLM near-miss tags to the closest real class (case/stems/y↔ies/tight fuzzy); far-off names still drop to title inference,0706f1a
-,2026-09-05,metrics,improvement,"Tag scoring follows the product's outcome (resolve → else infer), never the raw LLM emission",0706f1a
-,2026-09-05,tagging,feature,"Consent-based tag discovery: the registry grows from untagged history — MIN_EVIDENCE=5 distinct uncovered tasks, ≤1 ask/7 days (charged on hand-out), refusals forever; Mac popup + iOS alert; server-side politeness",24fbb7d
-,2026-09-05,tagging,feature,"Suggestion history: review, reverse a past verdict (un-accept removes the class), hide-but-keep; endpoints /tags/suggestions/{history,revise}",24fbb7d
-,2026-09-05,process,new,FEATURES.md: the feature catalog (summary table + what/where/how per feature); convention in CLAUDE.md — a shipped feature adds its entry in the same change,ffdaa36
-,2026-09-05,harness,bugfix,freezegun metaclass conflict on the date recognizer's lazy first-analyze sent all 250 rows deep (parse paths {'deep':250}); the harness now warm-analyzes the rule parser before any frozen context,02c8dae
-,2026-09-05,process,improvement,"Feature sweep (5 sonnet explorers, 294 features found): catalog extended — import/connected calendars, direct editing & undo, briefing, navigation chrome, design system, tasks power features, action set, engine named behaviours, HUD ergonomics, diagnostics logs",1d5fab4
5,2026-09-06,engine/generate,improvement,event_fallback: default-titled event when words literally ask event/reminder + recognizer grounds a when (kept; +0.8 noise-floor),b3c6656
6,2026-09-06,engine/generate,improvement,fast-gate veto: mutation targeting a bare ask-noun (reminder/event/...) routes deep,13edcce
7,2026-09-06,engine/generate,improvement,invention guard: LLM event titles must be grounded in the item's words (prefix-stem); fabrications dropped,160e9a4
2026-09-06,convention,segment,"Q1: dated I-need-to-<encounter> => event (Gil ruling, DEVQA)",loop
2026-09-07,bugfix,intent-model,"all-day-speak coercion: start_time=all day no longer kills the event",loop
2026-09-07,improvement,engine/fastrule,"F16 layer 0 rewired: judge() is rules OR model (was model gated behind intent-count); routing carve-out split out into _parse_covers_the_compound. B-test atomicity R 68.8->86.4%, FN 195->85",loop
2026-09-07,improvement,intent/classifier,"F17 atomicity features +joiner-mid +clause-coord (2 of 15 syntactic candidates; block as a whole banked NEGATIVE). B-test model FN 104->87, FP 90->78",loop
2026-09-07,improvement,intent/classifier,"F18 atomicity features +between-range +both-sides-time split the {and,joiner-mid} ambiguity bucket; conj-propn REJECTED by the dual gate (wins B, regresses A). Floor 1.5->0.25 by sweep. B-test layer FN 86->76",loop
2026-09-07,bugfix,intent/classifier,"LogisticModel.load refuses a weight vector whose length != featurizer; scores() zip was truncating silently after a feature was added",loop
2026-09-07,metric,scripts,"scripts/atomicity_board.py: layer 0's binary board (rules/model/layer x two datasets, both error kinds as counts); fit_route_models prints it plus a margin-floor sweep on both training halves",loop
